line	method	op_start	op_end	vtt_start	text
0	cover	00:00.54	00:02.54	00:02.17	富 名声 力
1	-	-	-	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	-	-	-	00:08.51	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	-	-	-	00:12.26	俺の財宝か？\N欲しけりゃくれてやる
4	-	-	-	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
5	-	-	-	00:22.27	男たちは\Nグランドラインを目指し
6	-	-	-	00:24.90	夢を追い続ける
7	-	-	-	00:27.03	世は まさに大海賊時代！
8	-	-	-	01:50.82	さあ！ 派手に点火しろ
9	-	-	-	01:54.95	撃ーて 撃ーて 撃ーて…
10	-	-	-	02:01.45	フフン
11	-	-	-	02:02.25	撃ーて 撃ーて 撃ーて…
12	-	-	-	02:06.58	いいっ！
13	-	-	-	02:08.50	ん？\Nああっ！
14	-	-	-	02:09.96	あっ
15	-	-	-	02:11.09	ヒヒヒヒヒッ
16	-	-	-	02:17.97	うっ くっ あああ…
17	-	-	-	02:20.31	ゾロ！
18	-	-	-	02:21.89	ううっ
19	-	-	-	02:23.64	ああっ
20	-	-	-	02:24.60	後ろから刺すなんて\N卑怯だぞ でかっ鼻ーっ！
21	-	-	-	02:41.91	くうっ うう…
22	-	-	-	02:45.25	おい ゾロ ケガしてんのに
23	-	-	-	02:48.00	おめえは黙って そこにいろ\N俺は俺のやりてえようにやる
24	-	-	-	02:53.72	うっ あああっ！ うっ…
25	-	-	-	02:58.39	何なの？ この人
26	-	-	-	03:00.89	ハア ハア…\Nルフィ 誰だ？ こいつは
27	-	-	-	03:06.23	ああ うちの航海士だ
28	-	-	-	03:10.02	冗談じゃないわよ\Nあんたたち 何なのよ
29	-	-	-	03:13.74	どけ
30	-	-	-	03:16.45	邪魔だ！
31	-	-	-	03:18.32	ううっ
32	-	-	-	03:19.49	ぬうううっ！
33	-	-	-	03:21.74	あっ あああ…
34	-	-	-	03:25.37	ぬおーっ！
35	-	-	-	03:30.42	「絶対絶命！\N猛獣使いモージ 対 ルフィ！」
36	-	-	-	03:36.76	ぬうううっ ううっ…
37	-	-	-	03:43.72	ううっ うっ…
38	-	-	-	03:48.02	なんで そこまでするの？\N海賊のくせに
39	cover	01:49.91	01:53.64	03:55.94	ナメやがって あの３人組\N冗談じゃねえ
40	cover	01:53.67	01:57.38	03:59.66	こいつは俺への宣戦布告と見て\N間違いねえ
41	cover	01:58.33	02:00.42	04:04.62	来たか モージ
42	cover	02:03.35	02:06.60	04:10.08	ロロノア･ゾロの首\N私が取っても？
43	-	-	-	04:14.25	フフフッ いいよ
44	-	-	-	04:32.81	ううっ…
45	-	-	-	04:39.61	ヘヘヘッ
46	-	-	-	04:40.49	あっ ああっ
47	-	-	-	04:41.66	あっ？
48	cover	02:25.91	02:27.62	04:49.20	何だ？ この犬は
49	-	-	-	04:51.54	あっ 犬！ ヘヘッ
50	rescue	02:27.81	02:29.65	05:02.51	あいー あいあいあい
51	cover	02:36.13	02:37.12	05:07.76	おい ゾロ
52	cover	02:37.15	02:38.56	05:08.89	全然 動かねえぞ
53	cover	02:38.59	02:41.75	05:10.56	知るか\Nそんなもん 犬の勝手だ
54	rescue	02:42.63	02:44.13	05:14.48	死んでんのかな？
55	-	-	-	05:16.57	ヘヘッ
56	interp1	02:46.85	02:48.52	05:20.40	あっ\Nギャーッ！
57	-	-	-	05:22.20	イテテテテテ…
58	-	-	-	05:25.66	イ… イテテテッ イテッ
59	-	-	-	05:27.49	この野郎 うわあ 離せ！\Nうわあっ
60	-	-	-	05:30.25	てめえ 今の事態\N分かってんのか！
61	interp1	03:02.58	03:03.99	05:36.13	犬め
62	cover	03:04.87	03:06.77	05:38.42	血が足りねえ
63	-	-	-	05:45.14	よう 航海士
64	cover	03:12.81	03:17.14	05:47.68	一応 渡しておくわ\N助けてもらったからね
65	cover	03:18.47	03:20.73	05:52.94	ああっ 檻の鍵だ！
66	cover	03:20.81	03:23.28	05:55.27	取ってきてくれたのか？\Nわざわざ
67	cover	03:23.81	03:25.60	05:58.15	勘違いしないで
68	-	-	-	06:00.07	あんたに借りを\N作りたくなかっただけよ
69	-	-	-	06:03.20	へえ
70	interp1	03:27.04	03:27.91	06:04.45	助かったあ
71	-	-	-	06:05.99	あっ
72	-	-	-	06:07.12	ええっ！
73	-	-	-	06:13.16	はっ？
74	-	-	-	06:13.92	いいっ？
75	-	-	-	06:16.79	このっ この この この この！\Nこの犬 餌じゃねえんだぞ！
76	cover	03:43.47	03:45.63	06:20.88	出せ 出せ 鍵を出せ！
77	-	-	-	06:22.80	この この この…
78	cover	03:47.87	03:50.91	06:25.01	鍵出せ！\N出せ 出せ 出せ 出せ…
79	-	-	-	06:28.18	コラーッ！
80	-	-	-	06:29.85	あっ？
81	cover	03:53.82	03:55.95	06:30.85	小わっぱども シュシュを\Nいじめるんじゃない！
82	cover+snap	03:55.98	03:57.81	06:33.64	シュシュ？
83	cover	03:58.59	04:00.01	06:37.02	誰だ？ おっさん
84	cover	04:00.35	04:05.52	06:38.86	わしは この町の町長じゃ\Nお前たちこそ何者だ？
85	-	-	-	06:44.15	あら？ あら ちょっと\Nこれはすごいケガじゃよ まあ…
86	-	-	-	06:48.62	お前たちも あのバギーに\Nやられたんじゃな
87	-	-	-	06:52.04	早く医者に診せんと
88	cover	04:13.61	04:14.65	07:01.80	ゾロは？
89	cover	04:14.77	04:17.02	07:02.96	医者に診せろというのに―
90	cover	04:17.05	04:20.26	07:05.38	寝てりゃ治ると言って\N寝てしまったよ
91	cover	04:23.47	04:26.07	07:19.69	この犬 シュシュって\N名前なのね
92	cover+snap	04:26.15	04:29.44	07:22.44	ハハッ こんなとこに座って\N何やってんだ？
93	cover	04:30.13	04:31.73	07:26.53	店番さ
94	-	-	-	07:28.28	店番？
95	-	-	-	07:29.28	そう
96	cover	04:32.57	04:36.32	07:30.62	わあ ここって\Nペットフード屋さんなんだ
97	cover	04:36.35	04:38.06	07:35.00	そうなんじゃよ
98	cover	04:38.31	04:42.11	07:37.08	この店の主人が\Nわしの親友でな
99	-	-	-	07:44.96	はい
100	cover	04:50.15	04:54.57	07:48.88	わしは やつの代わりに\N餌をやりに来たんじゃ
101	cover	04:55.85	04:56.46	07:54.31	代わりに？
102	cover	04:56.49	05:01.18	07:55.14	ええ やつは死んだ\N３か月前にな
103	cover	05:01.21	05:02.84	07:59.98	病気でな
104	cover	05:02.95	05:07.62	08:01.73	もしかして それからずっと\Nご主人の帰りを待ってるの？
105	cover	05:10.07	05:11.91	08:08.90	みんな そう言うがね
106	-	-	-	08:11.91	えっ？
107	cover	05:17.53	05:20.12	08:16.37	わしは違うと思うな
108	cover	05:21.35	05:23.50	08:20.21	シュシュは\N頭のいい犬だから―
109	cover	05:23.53	05:27.58	08:22.21	主人が死んだことぐらい\Nとうに知っておるだろう
110	cover	05:32.45	05:34.38	08:30.68	じゃあ どうして店番を？
