line	method	op_start	op_end	vtt_start	text
0	cover	00:00.58	00:02.54	00:02.21	富 名声 力
1	cover	00:03.31	00:07.37	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	cover	00:07.63	00:11.32	00:08.47	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	cover	00:11.35	00:15.19	00:12.30	俺の財宝か？\N欲しけりゃくれてやる
4	cover	00:15.37	00:18.92	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
5	cover	00:21.43	00:23.90	00:22.27	男たちは\Nグランドラインを目指し
6	cover	00:23.93	00:25.73	00:24.94	夢を追い続ける
7	cover	00:26.11	00:29.36	00:27.07	世は まさに大海賊時代！
8	-	-	-	01:51.86	死ねーっ
9	-	-	-	01:55.16	鬼… 斬り
10	-	-	-	01:58.58	コソ泥ごときに…
11	-	-	-	02:00.33	コソ泥じゃねえ… 海賊だ
12	-	-	-	02:03.00	あった グランドラインの海図！
13	-	-	-	02:06.83	ああっ
14	-	-	-	02:07.88	俺は あいつだけは許さねえ
15	-	-	-	02:15.84	「勝者はどっち？\N悪魔の実の能力対決！」
16	cover	02:35.59	02:37.36	02:25.48	俺は今まで生きてきて
17	cover	02:37.39	02:40.12	02:27.40	あいつほど\N怒りを覚えた男はいねえ
18	cover	02:40.15	02:42.08	02:30.07	シャンクスのやつは\Nこの俺から―
19	cover	02:42.11	02:44.54	02:31.82	莫大な財宝を\N奪いやがったんだ
20	cover	02:44.57	02:47.11	02:34.44	てめえがどういう\Nつながりか知らねえが―
21	cover	02:47.17	02:49.88	02:36.99	あいつをどう言おうが\N俺の勝手だ
22	cover	02:56.57	02:57.56	02:46.42	北極だ
23	cover+snap	02:57.59	02:58.37	02:47.38	いや 南極だ
24	cover	02:58.53	02:59.60	02:48.25	まだ言うか コラッ
25	cover	02:59.63	03:02.51	02:49.38	ああ 何度でも言うぜ\N俺が正しいんだ
26	cover	03:02.73	03:05.66	02:52.25	ああ いい度胸だ\N今日という今日は決着をつけてやる
27	cover	03:05.69	03:06.98	02:55.34	ああ やれるもんなら\Nやってみな
28	cover	03:07.01	03:10.10	02:56.68	上等だ てめえ コラッ\N派手にボコボコにしてやる
29	cover	03:10.13	03:11.08	02:59.89	返り討ちだ
30	cover	03:11.11	03:12.41	03:01.06	いいかげんにしろ
31	cover	03:12.91	03:16.17	03:02.68	北極と南極 どっちが寒いかなんて\Nどうでもいいだろ
32	cover	03:16.31	03:19.40	03:06.06	そんなに知りたきゃ\N両方 行って確かめれば済むこった
33	cover	03:19.43	03:20.69	03:09.40	頭 冷やせ
34	cover	03:20.83	03:21.75	03:10.56	船だーっ
35	cover	03:22.75	03:25.25	03:12.69	北北東から敵船！
36	cover	03:25.51	03:28.47	03:15.53	よーし 迎え討て 戦闘だ
37	-	-	-	03:18.07	オオーッ
38	cover	03:30.00	03:31.92	03:19.49	よーし 奪いに奪ってやる
39	cover	03:31.95	03:33.53	03:21.83	うれしそうだな バギー
40	cover	03:33.56	03:34.59	03:23.29	…ったり前だ
41	cover	03:34.85	03:39.26	03:24.62	敵船は宝箱みてえなもんだからな\N海賊は奪ってなんぼだよ
42	cover	03:39.29	03:40.33	03:29.04	違うか？
43	cover	03:41.01	03:42.70	03:30.67	まっ 一理あるけどな
44	cover	03:42.73	03:46.42	03:32.42	甘え甘え　おめえも\Nこの船の連中も宝に関しちゃ―
45	cover	03:46.45	03:48.66	03:36.09	おっとりしたことばっかり\N言いやがってよお
46	cover	03:48.83	03:51.04	03:38.59	海賊ってもんを\Nちっとも分かっちゃいねえ
47	-	-	-	03:45.93	ウッ
48	-	-	-	03:48.81	こ… こりゃあ
49	cover	04:02.37	04:04.72	03:50.69	たっ たっ 宝の地図！
50	cover	04:04.75	04:08.04	03:53.86	初めて見た すげえ…
51	cover	04:08.59	04:11.34	03:58.20	海の底に沈められてんのか
52	cover	04:13.95	04:19.58	04:03.45	やったぜ これで俺の人生は\Nど派手に決まったあ
53	interp1	04:27.68	04:29.39	04:17.46	いやいや 今日も快勝だ
54	-	-	-	04:19.18	イヒヒヒッ
55	cover	04:31.85	04:33.01	04:21.64	おい バギー！
56	cover	04:33.39	04:36.89	04:23.22	一緒に騒がねえのか？\N面白い戦利品もあるぞ
