line	method	op_start	op_end	vtt_start	text
0	cover	00:00.56	00:02.56	00:02.17	富 名声 力
1	cover	00:03.33	00:07.43	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	cover	00:07.65	00:11.28	00:08.51	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	cover	00:11.31	00:15.21	00:12.30	俺の財宝か？\N欲しけりゃくれてやる
4	cover	00:15.39	00:18.93	00:16.10	探せ！ この世のすべてを\Nそこに置いてきた
5	cover	00:21.45	00:23.92	00:22.27	男たちは\Nグランドラインを目指し
6	cover	00:23.95	00:25.75	00:24.90	夢を追い続ける
7	cover	00:26.13	00:29.38	00:27.03	世は まさに大海賊時代！
8	-	-	-	02:15.05	すっげえ
9	-	-	-	02:18.76	おお？
10	-	-	-	02:27.52	「俺はルフィ！\N海賊王になる男だ！」
11	-	-	-	02:38.87	ええ ご心配なく
12	-	-	-	02:41.08	あの程度の渦 この船にとっては\N何の障害にもなりません
13	-	-	-	02:46.62	お嬢さん
14	-	-	-	02:49.04	私と踊っていただけませんか？
15	-	-	-	02:51.30	ウフッ
16	-	-	-	02:54.59	よっしゃ おらっ
17	-	-	-	02:58.55	かあ… またか
18	-	-	-	03:00.22	ヘヘヘッ バッター アウト
19	-	-	-	03:02.01	何やってんだよ
20	-	-	-	03:03.77	下手くそ
21	-	-	-	03:06.44	へ？ うん？
22	cover	02:30.25	02:31.96	03:18.95	こいつは重いぜ
23	cover	02:31.99	02:33.97	03:20.70	中身たっぷりの…
24	cover	02:34.63	02:36.12	03:23.24	酒樽とみたね
25	-	-	-	03:24.70	ヘヘッ 頂き
26	-	-	-	03:26.21	はっ は… は…
27	cover	02:46.87	02:48.46	03:37.88	右後方に船影
28	cover	02:49.28	02:50.72	03:39.97	マストの上に海賊旗
29	cover	02:50.75	02:52.67	03:42.31	海賊船だ　敵襲！
30	-	-	-	03:44.35	敵襲！\Nうわーっ
31	-	-	-	04:00.57	船長 海賊です
32	-	-	-	04:02.20	何？
33	-	-	-	04:04.95	皆さん 落ち着いてください
34	-	-	-	04:06.79	落ち着いてください
35	-	-	-	04:08.41	冷静に\N指示に従ってくださーい！
36	-	-	-	04:16.55	撃て！
37	cover	03:18.71	03:20.04	04:30.06	コビー
38	-	-	-	04:31.73	は… はい
39	cover	03:22.05	03:25.60	04:33.06	この海で\N一番美しい者は誰だい？
40	cover	03:25.63	03:30.06	04:36.53	そ… それは もちろん\Nこの船の船長 アルビダ様です
41	-	-	-	04:40.53	フフフッ ハッハッハッハッ…
42	cover	03:36.03	03:37.72	04:47.20	よくできた
43	cover	03:37.75	03:39.17	04:48.83	ありがとうございます
44	cover	03:39.55	03:42.64	04:50.37	アルビダ様\N久方ぶりの獲物ですね
