line	method	op_start	op_end	vtt_start	text
0	cover	00:00.54	00:02.54	00:02.17	富 名声 力
1	cover	00:03.31	00:07.40	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	cover	00:07.63	00:11.24	00:08.51	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	cover	00:11.27	00:15.19	00:12.26	俺の財宝か？\N欲しけりゃくれてやる
4	cover	00:15.37	00:18.92	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
5	cover	00:21.41	00:23.90	00:22.27	男たちは\Nグランドラインを目指し
6	cover	00:23.93	00:25.73	00:24.90	夢を追い続ける
7	cover	00:26.11	00:29.27	00:27.03	世は まさに大海賊時代！
8	-	-	-	02:05.67	射殺しろ！
9	-	-	-	02:13.22	あったぞ！
10	-	-	-	02:17.47	おっ お前
11	-	-	-	02:19.01	ルフィさん
12	-	-	-	02:20.72	麦わら
13	-	-	-	02:25.81	ヒヒッ
14	-	-	-	02:27.98	効かーん！
15	-	-	-	02:30.36	うわーっ
16	-	-	-	02:33.11	ハハハハハハッ
17	-	-	-	02:35.16	だから言ったろ？\N俺は強いって
18	-	-	-	02:38.37	て… てめえ 一体何者なんだ？
19	-	-	-	02:41.16	ヒッ 俺はルフィ
20	-	-	-	02:43.71	海賊王になる男だ！
21	-	-	-	02:50.46	「モーガン 対 ルフィ！\N謎の美少女は誰？」
22	interp1	01:52.01	01:53.76	02:56.68	なっ 何？
23	cover	01:54.05	01:55.97	02:58.72	海賊王になるだと？
24	cover	01:56.05	01:59.02	03:00.76	てめえ 意味 分かって\N言ってんのか
25	-	-	-	03:04.60	海賊王は海賊王だ
26	-	-	-	03:07.06	他に意味があるか？
27	cover	01:59.05	02:00.75	03:11.65	僕も驚きました
28	cover	02:00.87	02:04.23	03:13.32	けど ルフィさんは本気です\Nそういう人なんです
29	-	-	-	03:16.65	海賊王になって\Nこの世の究極の大秘宝―
30	-	-	-	03:20.32	あのワンピースを\N手に入れるつもりなんです
31	-	-	-	03:23.54	イッヒヒヒヒ…
32	cover	02:07.49	02:09.18	03:27.21	ほら お前の宝だ
33	cover	02:09.21	02:13.17	03:29.33	どれだ？ 分かんねえから\N３本持ってきちまったぜ
34	cover	02:13.31	02:15.15	03:33.09	３本とも俺のさ
35	cover	02:15.33	02:17.71	03:35.05	俺は三刀流なんでね
36	-	-	-	03:37.80	ふ～ん
37	-	-	-	03:39.68	受け取るだろ？
38	cover	02:17.97	02:22.23	03:40.64	ここで俺と一緒に戦えば\Nお前は政府に盾突く悪党だ
39	cover	02:22.35	02:25.61	03:45.06	このまま海軍に殺されるのと\Nどっちがいい？
40	cover	02:26.15	02:29.45	03:48.94	てめえは悪魔の息子かよ\Nまあ いい
41	cover	02:29.85	02:33.10	03:52.52	ここで くたばるくらいなら\Nなってやろうじゃねえか
42	cover	02:33.25	02:34.46	03:55.90	海賊に
43	cover	02:34.95	02:38.11	03:57.36	やった\N仲間になってくれんのかよ
44	cover	02:38.31	02:40.53	04:00.95	よーし うひょーっ 最高
45	interp1	02:40.56	02:40.86	04:03.20	うん うん よーし
46	cover	02:40.89	02:43.38	04:03.53	分かったら さっさと\Nこの縄をほどけ
47	cover	02:43.41	02:45.61	04:06.83	あいつ 何なんだよ
48	cover	02:45.89	02:47.51	04:08.50	銃弾を はじき返したぞ
49	cover	02:48.19	02:50.46	04:10.88	ただの人間じゃねえぞ\Nあの麦わら
50	cover	02:50.49	02:52.68	04:13.38	うわさに高い\N“悪魔の実”シリーズの―
51	cover	02:52.71	02:54.28	04:15.30	何かを食いやがったな
52	cover	02:54.31	02:55.32	04:17.01	“悪魔の実”…
53	cover	02:55.35	02:57.14	04:18.01	あの海の秘宝を…
54	-	-	-	04:22.14	“悪魔の実”\Nそれを食ったやつは
55	-	-	-	04:25.10	この世のものとも思えぬ能力を\N身につけるという
56	-	-	-	04:30.64	火を吹く能力
57	-	-	-	04:32.73	津波を起こす能力
58	-	-	-	04:35.07	いろいろ\Nうわさされてはいるが―
59	-	-	-	04:37.11	種類も多く 詳しいことは\N何一つ分からねえ
60	-	-	-	04:41.07	その秘密はグランドラインに\N眠っているというが…
61	-	-	-	04:45.95	あの麦わらが見せたのは\N間違いねえ
