line	method	op_start	op_end	vtt_start	text
0	cover	00:58.14	01:00.14	00:02.17	富 名声 力
1	cover	01:00.95	01:05.04	00:04.29	この世のすべてを手に入れた男\N海賊王 ゴールド･ロジャー
2	cover	01:05.23	01:09.07	00:08.51	彼の死に際に放ったひと言は\N人々を海へ駆り立てた
3	cover	01:09.11	01:12.82	00:12.30	俺の財宝か？\N欲しけりゃくれてやる
4	cover	01:12.97	01:16.47	00:16.14	探せ！ この世のすべてを\Nそこに置いてきた
5	cover	01:19.05	01:21.56	00:22.27	男たちは\Nグランドラインを目指し
6	cover	01:21.59	01:23.34	00:24.90	夢を追い続ける
7	cover	01:23.71	01:26.75	00:27.03	世は まさに大海賊時代！
8	cover	00:03.29	00:05.48	01:53.15	ウッホーッ いい天気だな
9	cover	00:05.51	00:09.64	01:56.57	このまま進めば もうすぐ\N海軍基地の島が見えてきますよ
10	cover	00:09.67	00:14.04	02:00.66	へーっ コビー お前 すごいな\Nちゃんと目的地に着くのか？
11	cover	00:14.07	00:18.09	02:05.04	当たり前です　海に出る者の\N最低限の能力です
12	-	-	-	02:08.67	ハッハッハッハ…
13	rescue+snap	00:19.80	00:22.86	02:10.92	笑ってる場合じゃありませんよ\Nルフィさん
14	cover	00:22.89	00:24.83	02:14.09	そこに捕まってるんです
15	cover	00:25.47	00:28.15	02:16.43	あの有名な海賊狩り
16	cover	00:28.73	00:30.52	02:19.76	ロロノア･ゾロが
17	cover+snap	00:34.25	00:38.00	02:25.23	血に飢えた獣のように\N賞金首を襲い
18	cover	00:38.17	00:40.42	02:29.11	切り刻んできた男
19	-	-	-	02:32.44	人間の姿をした魔獣だと\N人は言います
20	-	-	-	02:39.99	「大剣豪 現る！\N海賊狩りロロノア･ゾロ」
21	cover	02:52.61	02:53.86	02:51.13	着いたーっ
22	cover	02:54.29	02:56.29	02:52.80	海軍基地の町
23	cover	03:00.79	03:02.36	02:59.26	ねえ ルフィさん
24	cover	03:02.39	03:05.30	03:00.64	あんなやつを仲間にしようだなんて\Nムチャですよ
25	cover	03:05.33	03:08.28	03:03.72	まだ決めたわけじゃないさ\Nもし いいやつだったら
26	cover	03:08.31	03:10.78	03:06.69	悪いやつだから\N捕まってるんです
27	cover	03:12.63	03:15.47	03:10.94	あっ うん うん うまい
28	cover	03:15.85	03:18.67	03:14.40	あの基地にいるのかな？\Nゾロってやつ
29	cover	03:24.25	03:26.91	03:22.74	ここでゾロの名は\N禁句のようですね
30	cover	03:27.77	03:29.36	03:26.29	とにかく基地に行ってみよう
31	cover	03:29.39	03:31.35	03:27.96	お前 海兵になるんだろ？
32	cover	03:31.59	03:34.93	03:29.75	え？ ええ でも まだ心の準備が
33	cover	03:35.03	03:39.19	03:33.21	うわさでは この基地に\Nモーガン大佐って人がいるとか…
34	rescue+snap	03:44.27	03:47.44	03:42.56	ハハハハハッ 面白え町だな
35	cover	03:47.53	03:49.98	03:45.85	妙ですよ ゾロはともかく―
36	cover	03:50.01	03:53.11	03:48.44	なぜ海軍大佐の名にまで\Nおびえるんでしょうか？
37	cover	03:53.63	03:56.51	03:51.98	僕 何だか不安になってきました
38	cover	03:56.69	03:58.64	03:54.98	なんかノリで\N吹っ飛んじゃったんじゃねえか？
39	cover	03:58.67	04:01.03	03:57.44	そんなわけないでしょう
40	cover	04:02.91	04:04.29	04:00.95	おっし ここだな
41	cover	04:05.05	04:07.43	04:03.37	とうとう来たんだ
42	cover	04:07.93	04:12.56	04:06.45	ここでお別れですね ルフィさん\N短い間でしたが… うん？
43	interp1	04:13.00	04:14.00	04:11.38	よっこらせっと
44	cover	04:14.13	04:16.62	04:12.50	ああっ ルフィさん\Nいきなり なんてことを
45	cover	04:16.65	04:18.94	04:15.09	どこだ？ 魔獣は
46	cover	04:19.39	04:21.40	04:17.71	こんなとこにいませんよ
47	cover	04:21.67	04:23.60	04:19.84	きっと奥の独房とか…
48	cover	04:23.63	04:24.55	04:22.01	いた！
49	cover	04:24.65	04:25.78	04:23.05	それーい
50	cover	04:28.49	04:29.62	04:27.06	ほら あいつ
51	cover	04:29.65	04:31.99	04:28.02	もう いるわけないですよ
52	-	-	-	04:30.27	ううっ！
53	cover	04:37.81	04:41.31	04:36.07	黒頭巾に腹巻き…
54	cover	04:42.93	04:46.06	04:41.24	あれがロロノア･ゾロ
55	cover	04:46.09	04:48.52	04:44.57	あの縄ほどけば\N簡単に逃がせるな
56	cover	04:48.55	04:50.80	04:47.12	バ… バカなこと\N言わないでください
57	cover	04:50.83	04:52.96	04:49.33	あんなやつ 逃がしたら\Nどうなるか
58	cover	04:52.99	04:55.70	04:51.46	ルフィさんだって\N殺そうとしますよ きっと
59	cover	04:56.37	04:57.84	04:54.29	大丈夫　俺 強いから
60	cover	04:57.87	05:00.12	04:56.42	もう この人は！
61	cover	05:00.79	05:02.50	04:59.26	おい お前ら
62	cover	05:03.79	05:05.17	05:02.38	目障りだ
63	cover	05:07.41	05:08.73	05:06.18	うせろ
64	-	-	-	05:07.31	ヒャーッ
65	cover	05:10.17	05:10.94	05:08.52	ルフィさん
66	cover	05:10.97	05:13.81	05:09.35	あんなやつ 仲間にしたら\N命がいくつあっても…
67	-	-	-	05:12.19	うん？
68	-	-	-	05:14.69	シーッ
69	cover	05:24.41	05:25.50	05:22.53	わあ 危ない
70	cover	05:25.53	05:28.78	05:23.91	ルフィさん 止めてください\Nあの子 殺されちゃいますよ
71	cover	05:30.09	05:30.96	05:28.41	何だ？
72	cover	05:30.99	05:32.54	05:29.45	おなかすいたでしょ？
73	cover	05:33.02	05:34.86	05:31.08	私 おにぎり作ってきたの
74	cover	05:34.89	05:37.42	05:33.25	殺されてえのか チビ\N消えな
75	cover	05:37.45	05:40.28	05:35.92	お兄ちゃん もうずっと\N何も食べてないんでしょ？
76	-	-	-	05:38.96	はい
77	cover	05:41.55	05:45.89	05:39.92	私 初めてだけど\N一生懸命 作ったから
78	cover	05:47.71	05:49.42	05:46.10	腹なんか減っちゃいねえ
79	cover	05:49.47	05:51.18	05:47.93	目障りだ　とっとと帰れ
80	cover	05:51.21	05:51.91	05:49.51	でも…
81	cover	05:52.05	05:54.34	05:50.27	要らねえっつったろ\Nぶっ飛ばすぞ
82	cover	05:54.79	05:56.88	05:53.27	いじめは いかんねえ
